"","name","seq","type","interaction","animal"
"5-move-Foster","5-move-Foster",5,"move","Foster",29
"5-move-Reclaimed","5-move-Reclaimed",5,"move","Reclaimed",28
"5-return-Abandoned","5-return-Abandoned",5,"return","Abandoned",3
"5-return-Allergies","5-return-Allergies",5,"return","Allergies",9
"5-return-Animal Health","5-return-Animal Health",5,"return","Animal Health",4
"5-return-Behavior","5-return-Behavior",5,"return","Behavior",19
"5-return-Behavioral Issues","5-return-Behavioral Issues",5,"return","Behavioral Issues",4
"5-return-Biting","5-return-Biting",5,"return","Biting",7
"5-return-Dead On Arrival","5-return-Dead On Arrival",5,"return","Dead On Arrival",1
"5-return-Incompatible with other pets","5-return-Incompatible with other pets",5,"return","Incompatible with other pets",11
"5-return-Incompatible with owner lifestyle","5-return-Incompatible with owner lifestyle",5,"return","Incompatible with owner lifestyle",70
"5-return-Landlord issues","5-return-Landlord issues",5,"return","Landlord issues",5
"5-return-Marriage/Relationship split","5-return-Marriage/Relationship split",5,"return","Marriage/Relationship split",1
"5-return-Moving","5-return-Moving",5,"return","Moving",9
"5-return-Owner Deceased","5-return-Owner Deceased",5,"return","Owner Deceased",1
"5-return-Owner requested","5-return-Owner requested",5,"return","Owner requested",5
"5-return-Police Assist","5-return-Police Assist",5,"return","Police Assist",2
"5-return-Rabies Monitoring","5-return-Rabies Monitoring",5,"return","Rabies Monitoring",5
"5-return-Return Adopt - Other","5-return-Return Adopt - Other",5,"return","Return Adopt - Other",7
"5-return-Stray","5-return-Stray",5,"return","Stray",406
"5-return-Unable to Afford","5-return-Unable to Afford",5,"return","Unable to Afford",2
"5-return-Unsuitable Accommodation","5-return-Unsuitable Accommodation",5,"return","Unsuitable Accommodation",9
"6-dead-Animal Health","6-dead-Animal Health",6,"dead","Animal Health",3
"6-dead-Behavior","6-dead-Behavior",6,"dead","Behavior",1
"6-dead-Biting","6-dead-Biting",6,"dead","Biting",1
"6-dead-Dead On Arrival","6-dead-Dead On Arrival",6,"dead","Dead On Arrival",1
"6-dead-Died in care","6-dead-Died in care",6,"dead","Died in care",6
"6-dead-Owner Requested","6-dead-Owner Requested",6,"dead","Owner Requested",5
"6-dead-TM - Treatable Manageable Behavior","6-dead-TM - Treatable Manageable Behavior",6,"dead","TM - Treatable Manageable Behavior",2
"6-dead-UU - untreatable, unmanageable Behavior","6-dead-UU - untreatable, unmanageable Behavior",6,"dead","UU - untreatable, unmanageable Behavior",5
"6-dead-UU - untreatable, unmanageable health","6-dead-UU - untreatable, unmanageable health",6,"dead","UU - untreatable, unmanageable health",8
"6-dead-Vet advised euthanasia","6-dead-Vet advised euthanasia",6,"dead","Vet advised euthanasia",1
"6-move-Adoption","6-move-Adoption",6,"move","Adoption",417
"6-move-Foster","6-move-Foster",6,"move","Foster",82
"6-move-Reclaimed","6-move-Reclaimed",6,"move","Reclaimed",24
"6-move-Stolen","6-move-Stolen",6,"move","Stolen",2
"6-move-Transfer","6-move-Transfer",6,"move","Transfer",10
"6-return-Allergies","6-return-Allergies",6,"return","Allergies",1
"6-return-Behavioral Issues","6-return-Behavioral Issues",6,"return","Behavioral Issues",1
"6-return-Biting","6-return-Biting",6,"return","Biting",1
"6-return-Incompatible with owner lifestyle","6-return-Incompatible with owner lifestyle",6,"return","Incompatible with owner lifestyle",4
"6-return-Return Adopt - Other","6-return-Return Adopt - Other",6,"return","Return Adopt - Other",1
"6-return-Stray","6-return-Stray",6,"return","Stray",169
"7-dead-Dead On Arrival","7-dead-Dead On Arrival",7,"dead","Dead On Arrival",1
"7-dead-Died in care","7-dead-Died in care",7,"dead","Died in care",1
"7-dead-UU - untreatable, unmanageable health","7-dead-UU - untreatable, unmanageable health",7,"dead","UU - untreatable, unmanageable health",1
"7-move-Adoption","7-move-Adoption",7,"move","Adoption",41
"7-move-Foster","7-move-Foster",7,"move","Foster",8
"7-move-Reclaimed","7-move-Reclaimed",7,"move","Reclaimed",10
"7-move-Transfer","7-move-Transfer",7,"move","Transfer",2
"7-return-Allergies","7-return-Allergies",7,"return","Allergies",1
"7-return-Animal Health","7-return-Animal Health",7,"return","Animal Health",3
"7-return-Behavior","7-return-Behavior",7,"return","Behavior",8
"7-return-Biting","7-return-Biting",7,"return","Biting",3
"7-return-Incompatible with owner lifestyle","7-return-Incompatible with owner lifestyle",7,"return","Incompatible with owner lifestyle",24
"7-return-Landlord issues","7-return-Landlord issues",7,"return","Landlord issues",2
"7-return-Moving","7-return-Moving",7,"return","Moving",2
"7-return-Return Adopt - Other","7-return-Return Adopt - Other",7,"return","Return Adopt - Other",3
"7-return-Stray","7-return-Stray",7,"return","Stray",80
"7-return-Transfer from Other Shelter","7-return-Transfer from Other Shelter",7,"return","Transfer from Other Shelter",1
"7-return-Unable to Afford","7-return-Unable to Afford",7,"return","Unable to Afford",2
"7-return-Unsuitable Accommodation","7-return-Unsuitable Accommodation",7,"return","Unsuitable Accommodation",1
"8-dead-Animal Health","8-dead-Animal Health",8,"dead","Animal Health",1
"8-dead-Behavior","8-dead-Behavior",8,"dead","Behavior",1
"8-dead-Biting","8-dead-Biting",8,"dead","Biting",1
"8-dead-Died in care","8-dead-Died in care",8,"dead","Died in care",3
"8-dead-TM - Treatable Manageable Behavior","8-dead-TM - Treatable Manageable Behavior",8,"dead","TM - Treatable Manageable Behavior",1
"8-dead-UU - untreatable, unmanageable Behavior","8-dead-UU - untreatable, unmanageable Behavior",8,"dead","UU - untreatable, unmanageable Behavior",1
"8-dead-UU - untreatable, unmanageable health","8-dead-UU - untreatable, unmanageable health",8,"dead","UU - untreatable, unmanageable health",1
"8-move-Adoption","8-move-Adoption",8,"move","Adoption",91
"8-move-Foster","8-move-Foster",8,"move","Foster",15
"8-move-Reclaimed","8-move-Reclaimed",8,"move","Reclaimed",9
"8-move-Transfer","8-move-Transfer",8,"move","Transfer",2
"8-return-Incompatible with owner lifestyle","8-return-Incompatible with owner lifestyle",8,"return","Incompatible with owner lifestyle",5
"8-return-Stray","8-return-Stray",8,"return","Stray",54
"9-dead-Dead On Arrival","9-dead-Dead On Arrival",9,"dead","Dead On Arrival",1
"9-move-Adoption","9-move-Adoption",9,"move","Adoption",12
"9-move-Foster","9-move-Foster",9,"move","Foster",1
"9-move-Reclaimed","9-move-Reclaimed",9,"move","Reclaimed",3
"9-return-Behavior","9-return-Behavior",9,"return","Behavior",4
"9-return-Incompatible with other pets","9-return-Incompatible with other pets",9,"return","Incompatible with other pets",1
"9-return-Incompatible with owner lifestyle","9-return-Incompatible with owner lifestyle",9,"return","Incompatible with owner lifestyle",3
"9-return-Moving","9-return-Moving",9,"return","Moving",1
"9-return-Police Assist","9-return-Police Assist",9,"return","Police Assist",1
"9-return-Rabies Monitoring","9-return-Rabies Monitoring",9,"return","Rabies Monitoring",1
"9-return-Stray","9-return-Stray",9,"return","Stray",14
